round,accuracy,profile
0,41.951219512195124,she_dp
1,56.09756097560975,she_dp
2,54.146341463414636,she_dp
3,54.63414634146341,she_dp
4,59.02439024390244,she_dp
5,69.7560975609756,she_dp
6,76.09756097560975,she_dp
7,76.09756097560975,she_dp
8,74.63414634146342,she_dp
9,72.6829268292683,she_dp
10,73.17073170731707,she_dp
11,76.09756097560975,she_dp
12,75.60975609756098,she_dp
13,77.07317073170732,she_dp
14,78.04878048780488,she_dp
15,78.53658536585365,she_dp
16,80.0,she_dp
17,81.46341463414635,she_dp
18,79.51219512195122,she_dp
19,79.51219512195122,she_dp
20,78.53658536585365,she_dp
21,78.53658536585365,she_dp
22,78.04878048780488,she_dp
23,78.04878048780488,she_dp
24,77.5609756097561,she_dp
25,77.5609756097561,she_dp
