round,rmse,profile
0,89.75191774152377,she
1,88.29444315134589,she
2,88.10618704332006,she
3,87.87651970147515,she
4,87.88831802527854,she
5,88.97318986989845,she
6,88.88251001146119,she
7,88.13667919061848,she
8,87.5226616859528,she
9,87.2668126038258,she
10,87.16083261527221,she
11,87.04234107964353,she
12,86.90229449826109,she
13,86.81438701602833,she
14,86.76822350016738,she
15,86.7445823011083,she
16,86.70826794757666,she
17,86.64248899031871,she
18,86.60648419990706,she
19,86.60852228743138,she
20,86.62615552079234,she
21,86.65220983189062,she
22,86.66842571331846,she
23,86.69427300956073,she
24,86.71289676192204,she
25,86.74194509614424,she
26,86.76450369570784,she
27,86.75701295500555,she
28,86.76721055862635,she
29,86.791765432413,she
30,86.81094198565927,she
31,86.83245361038693,she
32,86.86073117982458,she
33,86.87673952844771,she
34,86.89045781992549,she
35,86.90627809240826,she
36,86.91026150396453,she
37,86.90102746353895,she
38,86.82502496940326,she
39,86.74798212260472,she
40,86.72759526961416,she
41,86.73141517873584,she
42,86.74075734264142,she
43,86.73760211750006,she
44,86.72916885609334,she
45,86.7216356501868,she
46,86.7178631711411,she
47,86.70994324650721,she
48,86.70499609397517,she
49,86.69862660658904,she
50,86.68571161186975,she
