round,rmse,profile
0,0.5562872852730727,she
2,1.7241118978310763,she
3,0.462107611787452,she
4,0.15711040233767473,she
5,0.3345402002005903,she
6,0.07749078037716203,she
7,0.0561458708307982,she
8,0.023427258180976015,she
9,0.026008819686624687,she
10,0.00900008802603206,she
11,0.028172857244678044,she
12,0.025911537776119167,she
13,0.008325476061374504,she
14,0.006782387183744043,she
15,0.008804182451498879,she
16,0.018310332297021507,she
17,0.007245505079613427,she
18,0.017449048276787556,she
19,0.027417827637631714,she
20,0.01486227203782642,she
21,0.008225576261430683,she
22,0.015586111263003263,she
23,0.013580207609914189,she
24,0.011549395862211358,she
25,0.013771797857678198,she
