round,accuracy,profile
0,50.24390243902439,she_dp
1,61.951219512195124,she_dp
2,64.39024390243902,she_dp
3,66.82926829268293,she_dp
4,70.73170731707317,she_dp
5,66.82926829268293,she_dp
6,60.48780487804878,she_dp
7,58.53658536585366,she_dp
8,56.09756097560975,she_dp
9,60.0,she_dp
10,61.46341463414634,she_dp
11,64.39024390243902,she_dp
12,67.3170731707317,she_dp
13,71.70731707317073,she_dp
14,75.1219512195122,she_dp
15,78.04878048780488,she_dp
16,78.53658536585365,she_dp
17,79.51219512195122,she_dp
18,79.02439024390245,she_dp
19,81.46341463414635,she_dp
20,79.51219512195122,she_dp
21,80.48780487804878,she_dp
22,80.0,she_dp
23,79.51219512195122,she_dp
24,78.04878048780488,she_dp
25,78.53658536585365,she_dp
