round,rmse,profile
0,0.6370392677189936,she
1,1.4888840303215223,she
2,0.6523957831366337,she
3,0.07484855212373308,she
4,0.44231570915943497,she
5,0.3206750980633997,she
6,0.13552800440184012,she
7,0.1401617845188891,she
8,0.05940895035374085,she
9,0.051231592764469265,she
10,0.07756232650139559,she
11,0.03333798362255898,she
12,0.054336789952000975,she
13,0.07747856261358602,she
14,0.04345129677087596,she
15,0.01932859109629362,she
16,0.052112173748064525,she
17,0.02988374820035893,she
18,0.02722831717854524,she
19,0.052205620445857796,she
20,0.04832431273990489,she
21,0.01693255213126517,she
22,0.025925899519714527,she
23,0.031218221085201926,she
24,0.01466233269963609,she
25,0.023376754928263088,she
