round,accuracy,profile
0,53.65853658536585,she_dp
1,51.21951219512195,she_dp
2,51.707317073170735,she_dp
3,51.707317073170735,she_dp
4,52.19512195121951,she_dp
5,55.609756097560975,she_dp
6,54.63414634146341,she_dp
7,59.02439024390244,she_dp
8,61.951219512195124,she_dp
9,65.85365853658537,she_dp
10,65.85365853658537,she_dp
11,68.78048780487805,she_dp
12,72.6829268292683,she_dp
13,72.1951219512195,she_dp
14,76.09756097560975,she_dp
15,77.5609756097561,she_dp
16,78.53658536585365,she_dp
17,78.53658536585365,she_dp
18,80.97560975609755,she_dp
19,80.48780487804878,she_dp
20,79.02439024390245,she_dp
21,79.51219512195122,she_dp
22,81.95121951219512,she_dp
23,81.46341463414635,she_dp
24,83.41463414634147,she_dp
25,82.4390243902439,she_dp
26,83.41463414634147,she_dp
27,83.41463414634147,she_dp
28,81.95121951219512,she_dp
29,81.95121951219512,she_dp
30,81.95121951219512,she_dp
31,82.4390243902439,she_dp
32,81.46341463414635,she_dp
