round,accuracy,profile
0,48.78048780487805,she_dp
1,49.26829268292683,she_dp
2,47.80487804878049,she_dp
3,53.170731707317074,she_dp
4,56.58536585365854,she_dp
5,66.34146341463415,she_dp
6,67.3170731707317,she_dp
7,69.7560975609756,she_dp
8,72.1951219512195,she_dp
9,74.14634146341463,she_dp
10,76.58536585365853,she_dp
11,72.1951219512195,she_dp
12,72.1951219512195,she_dp
13,72.1951219512195,she_dp
14,70.2439024390244,she_dp
15,71.21951219512195,she_dp
16,71.70731707317073,she_dp
17,71.70731707317073,she_dp
18,74.14634146341463,she_dp
19,74.63414634146342,she_dp
20,75.1219512195122,she_dp
21,75.1219512195122,she_dp
22,75.1219512195122,she_dp
23,76.09756097560975,she_dp
24,76.09756097560975,she_dp
25,77.07317073170732,she_dp
