round,accuracy,profile
0,54.63414634146341,full_he
2,59.51219512195122,full_he
3,53.170731707317074,full_he
4,55.1219512195122,full_he
5,55.609756097560975,full_he
6,51.21951219512195,full_he
7,54.146341463414636,full_he
8,50.73170731707317,full_he
9,49.26829268292683,full_he
10,50.24390243902439,full_he
11,52.68292682926829,full_he
12,51.21951219512195,full_he
13,50.73170731707317,full_he
14,50.24390243902439,full_he
15,50.24390243902439,full_he
16,49.26829268292683,full_he
17,48.78048780487805,full_he
18,48.78048780487805,full_he
19,48.78048780487805,full_he
20,48.78048780487805,full_he
21,48.78048780487805,full_he
22,48.78048780487805,full_he
23,48.78048780487805,full_he
24,48.78048780487805,full_he
25,48.78048780487805,full_he
26,48.78048780487805,full_he
27,48.78048780487805,full_he
28,48.78048780487805,full_he
29,48.78048780487805,full_he
30,48.78048780487805,full_he
31,48.78048780487805,full_he
32,48.78048780487805,full_he
33,48.78048780487805,full_he
34,48.292682926829265,full_he
35,48.292682926829265,full_he
36,48.292682926829265,full_he
37,47.80487804878049,full_he
38,48.78048780487805,full_he
39,48.78048780487805,full_he
40,50.24390243902439,full_he
41,47.80487804878049,full_he
42,48.292682926829265,full_he
43,47.80487804878049,full_he
44,48.292682926829265,full_he
45,47.80487804878049,full_he
46,45.853658536585364,full_he
47,48.292682926829265,full_he
48,47.80487804878049,full_he
49,46.829268292682926,full_he
50,46.829268292682926,full_he
