round,accuracy,profile
0,54.63414634146341,she_dp
1,45.853658536585364,she_dp
2,57.073170731707314,she_dp
3,59.51219512195122,she_dp
4,63.90243902439025,she_dp
5,62.926829268292686,she_dp
6,65.36585365853658,she_dp
7,64.39024390243902,she_dp
8,68.29268292682927,she_dp
9,70.73170731707317,she_dp
10,70.73170731707317,she_dp
11,71.70731707317073,she_dp
12,73.65853658536585,she_dp
13,76.58536585365853,she_dp
14,77.5609756097561,she_dp
15,78.04878048780488,she_dp
16,77.5609756097561,she_dp
17,77.07317073170732,she_dp
18,77.5609756097561,she_dp
19,80.48780487804878,she_dp
20,80.97560975609755,she_dp
21,81.46341463414635,she_dp
22,81.46341463414635,she_dp
23,81.95121951219512,she_dp
24,80.48780487804878,she_dp
25,79.02439024390245,she_dp
26,78.04878048780488,she_dp
27,78.04878048780488,she_dp
28,80.0,she_dp
29,80.97560975609755,she_dp
30,80.48780487804878,she_dp
31,80.48780487804878,she_dp
32,79.51219512195122,she_dp
33,78.04878048780488,she_dp
34,78.53658536585365,she_dp
35,78.53658536585365,she_dp
36,78.04878048780488,she_dp
37,79.51219512195122,she_dp
38,80.97560975609755,she_dp
39,80.0,she_dp
40,80.97560975609755,she_dp
41,82.4390243902439,she_dp
42,78.53658536585365,she_dp
43,78.53658536585365,she_dp
44,78.53658536585365,she_dp
45,78.53658536585365,she_dp
46,78.53658536585365,she_dp
