round,rmse,profile
0,0.5652008384135481,she
1,2.213431848531981,she
2,0.634591791852591,she
3,0.08442791542233075,she
4,0.22954699085137376,she
5,0.2451923300777615,she
6,0.14463752628166612,she
7,0.18104533610632714,she
8,0.16087666005053922,she
9,0.06585691945214601,she
10,0.07357432714018346,she
11,0.11122260614325083,she
12,0.06395707192417045,she
13,0.047661493845399666,she
14,0.06925890565602233,she
15,0.04767523606241411,she
16,0.004552641417935373,she
17,0.04348881769838826,she
18,0.05506533142738114,she
19,0.0314964637343117,she
