round,accuracy,profile
0,61.46341463414634,she_dp
1,81.95121951219512,she_dp
2,56.09756097560975,she_dp
3,53.170731707317074,she_dp
4,52.68292682926829,she_dp
5,55.609756097560975,she_dp
6,60.0,she_dp
7,61.46341463414634,she_dp
8,63.90243902439025,she_dp
9,65.85365853658537,she_dp
10,70.2439024390244,she_dp
11,74.14634146341463,she_dp
12,73.17073170731707,she_dp
13,73.17073170731707,she_dp
14,74.63414634146342,she_dp
15,76.58536585365853,she_dp
16,77.07317073170732,she_dp
17,77.5609756097561,she_dp
18,78.04878048780488,she_dp
19,77.5609756097561,she_dp
20,78.53658536585365,she_dp
21,79.51219512195122,she_dp
22,79.51219512195122,she_dp
23,78.04878048780488,she_dp
24,77.5609756097561,she_dp
25,77.5609756097561,she_dp
