round,rmse,profile
0,0.4631575929187146,she
2,0.8534353816461131,she
3,0.494658730032368,she
4,0.06385321376765243,she
5,0.20830824919528754,she
6,0.12722499054689274,she
7,0.15130202829050277,she
8,0.06268224743457328,she
9,0.08867552283425711,she
10,0.07367995723472344,she
11,0.0903021221649615,she
12,0.13879287169082338,she
13,0.047872312581620884,she
14,0.07452154819654257,she
15,0.10096403926024548,she
16,0.024911246625001805,she
17,0.07601047190639403,she
18,0.10089073942637886,she
19,0.04933215588538718,she
20,0.02689884757156745,she
21,0.09881806209280862,she
22,0.04404493140396083,she
23,0.018360012314773067,she
24,0.05441997864239728,she
25,0.040965424197527835,she
