round,accuracy,profile
0,40.0,she_dp
2,36.09756097560975,she_dp
3,34.63414634146341,she_dp
4,33.65853658536585,she_dp
5,43.41463414634146,she_dp
6,45.853658536585364,she_dp
7,46.829268292682926,she_dp
8,49.26829268292683,she_dp
9,48.78048780487805,she_dp
10,51.21951219512195,she_dp
11,51.707317073170735,she_dp
12,53.65853658536585,she_dp
13,53.65853658536585,she_dp
14,53.65853658536585,she_dp
15,54.146341463414636,she_dp
16,56.58536585365854,she_dp
17,55.609756097560975,she_dp
18,54.63414634146341,she_dp
19,54.146341463414636,she_dp
20,54.63414634146341,she_dp
21,54.63414634146341,she_dp
22,54.146341463414636,she_dp
23,57.5609756097561,she_dp
24,58.048780487804876,she_dp
25,58.53658536585366,she_dp
26,61.951219512195124,she_dp
27,64.8780487804878,she_dp
28,65.36585365853658,she_dp
29,68.29268292682927,she_dp
30,68.78048780487805,she_dp
31,70.73170731707317,she_dp
32,71.21951219512195,she_dp
33,72.6829268292683,she_dp
34,73.17073170731707,she_dp
35,73.65853658536585,she_dp
36,74.63414634146342,she_dp
37,73.65853658536585,she_dp
38,75.1219512195122,she_dp
39,72.6829268292683,she_dp
40,74.14634146341463,she_dp
41,74.63414634146342,she_dp
42,74.14634146341463,she_dp
43,75.60975609756098,she_dp
44,76.58536585365853,she_dp
45,78.04878048780488,she_dp
46,77.5609756097561,she_dp
47,79.51219512195122,she_dp
48,78.53658536585365,she_dp
49,78.53658536585365,she_dp
50,78.04878048780488,she_dp
