round,rmse,profile
0,0.4843700624029697,she
1,1.0777851066525883,she
2,0.4983780601241036,she
3,0.18490046284928682,she
4,0.21725070122988646,she
5,0.08260678018351605,she
6,0.11120784686892007,she
7,0.04633751317343822,she
8,0.024545233732488455,she
9,0.020363786575270004,she
10,0.03258260646934752,she
11,0.04691677417588945,she
12,0.04112885660365424,she
13,0.012392699746999797,she
14,0.004770323735224613,she
15,0.02183587162237347,she
16,0.033040489860510135,she
17,0.01609416391132074,she
18,0.015132704037036126,she
19,0.02042581280557964,she
20,0.018220736070487225,she
21,0.02877895600641612,she
22,0.02482590678243582,she
23,0.0072966229599913035,she
24,0.01293856802198384,she
25,0.017800735343351137,she
