round,accuracy,profile
0,45.853658536585364,she_dp
1,51.707317073170735,she_dp
2,51.21951219512195,she_dp
3,50.73170731707317,she_dp
4,50.73170731707317,she_dp
5,55.609756097560975,she_dp
6,60.48780487804878,she_dp
7,66.34146341463415,she_dp
8,67.8048780487805,she_dp
9,69.26829268292683,she_dp
10,71.70731707317073,she_dp
11,73.17073170731707,she_dp
12,73.17073170731707,she_dp
13,73.17073170731707,she_dp
14,73.17073170731707,she_dp
15,72.6829268292683,she_dp
16,73.17073170731707,she_dp
17,74.63414634146342,she_dp
18,75.60975609756098,she_dp
19,76.09756097560975,she_dp
20,77.07317073170732,she_dp
