round,rmse,profile
0,0.6425516418750705,she
1,1.8499432013787982,she
2,0.9288095127101568,she
3,0.1373423658958711,she
4,0.5856137207638662,she
5,0.3234582507346193,she
6,0.07175635660300814,she
7,0.1762112497366268,she
8,0.11817762990569877,she
9,0.022317834760663152,she
10,0.1082617095005803,she
11,0.1083291407914009,she
12,0.032938709027265874,she
13,0.07631487444867079,she
14,0.07837464262760704,she
15,0.029695785222760666,she
16,0.03866998187402028,she
17,0.0742184206051795,she
18,0.03833822449292879,she
19,0.032411246611515974,she
20,0.06125610224155061,she
21,0.05660592652379853,she
22,0.018028883210894513,she
23,0.020191727744124335,she
24,0.037952798658823464,she
25,0.014168179536848265,she
