round,rmse,profile
0,0.6223129446042058,she
1,1.5556744074073414,she
2,0.5437584492695617,she
3,0.07058235214766784,she
4,0.3081438309716605,she
5,0.47089163776489673,she
6,0.10101948052916115,she
7,0.13175216415019442,she
8,0.08490636322426715,she
9,0.040073606662108366,she
10,0.07810934327119753,she
11,0.08191164129569112,she
12,0.08157277561824322,she
13,0.0481544900231558,she
14,0.08787411163753996,she
15,0.097664346359325,she
16,0.06574951122015231,she
17,0.010322861551051304,she
18,0.06972656891125562,she
19,0.07599413136635103,she
20,0.03212067518920671,she
21,0.03781540781162392,she
22,0.06814426569122937,she
23,0.0516546250935563,she
24,0.012038117229689919,she
25,0.03173201572489118,she
