round,rmse,profile
0,89.72571594343786,she
1,89.73377508288058,she
2,89.74563664532667,she
3,89.7533158988778,she
4,89.75993372950428,she
5,89.76134808131505,she
6,89.76251218493164,she
7,89.76476691278293,she
8,89.76626006085193,she
9,89.76568619449611,she
10,89.76326830022123,she
11,89.76202533034919,she
12,89.76016492315091,she
13,89.75972429474564,she
14,89.75929182402231,she
15,89.75848943571438,she
16,89.75801343926068,she
17,89.75747488022934,she
18,89.7570967989788,she
19,89.75672415618787,she
20,89.75649295367856,she
21,89.75632975154872,she
22,89.75565517959718,she
23,89.75581022279282,she
24,89.75558717811109,she
25,89.75563341912724,she
26,89.75586462385063,she
27,89.7558292631668,she
28,89.75560621853239,she
29,89.75503228405915,she
30,89.75504588444457,she
31,89.75512748671382,she
32,89.7552226892675,she
33,89.75529069102974,she
34,89.75536957300939,she
35,89.7555354969472,she
36,89.7555735778077,she
37,89.75570958074896,she
38,89.75573678131248,she
39,89.75579662252322,she
40,89.75587822410992,she
41,89.75596798576962,she
42,89.75612302842492,she
43,89.7561475088197,she
44,89.75612030838064,she
45,89.75626447061369,she
46,89.75638415229164,she
47,89.75645487320814,she
48,89.75665071545534,she
49,89.75689823768421,she
50,89.75706687881183,she
