round,rmse,profile
0,0.6351225568367377,she
1,2.2100724863446133,she
2,0.6137373861970634,she
3,0.09235351291433425,she
4,0.20524018560053772,she
5,0.14792668765894224,she
6,0.10476926805788789,she
7,0.18394053963532367,she
8,0.12908003392393608,she
9,0.013289530951978538,she
10,0.1302662331277627,she
11,0.15909641521658888,she
12,0.02110852244678455,she
13,0.06736350128323705,she
14,0.07609664735722028,she
15,0.04203428885844072,she
16,0.011056680728145217,she
17,0.05003467918065517,she
18,0.05751372803523927,she
19,0.03811896249481563,she
20,0.030355173949195798,she
21,0.035860194696041896,she
22,0.011803451911876959,she
23,0.01657315762366599,she
24,0.025581506625743426,she
25,0.016489540674620457,she
