round,accuracy,profile
0,64.8780487804878,she_dp
1,44.390243902439025,she_dp
2,56.58536585365854,she_dp
3,62.926829268292686,she_dp
4,68.78048780487805,she_dp
5,69.7560975609756,she_dp
6,71.21951219512195,she_dp
7,71.70731707317073,she_dp
8,71.21951219512195,she_dp
9,74.63414634146342,she_dp
10,76.58536585365853,she_dp
11,77.5609756097561,she_dp
12,80.48780487804878,she_dp
13,78.53658536585365,she_dp
14,80.97560975609755,she_dp
15,80.97560975609755,she_dp
16,82.4390243902439,she_dp
17,79.51219512195122,she_dp
18,80.0,she_dp
19,80.0,she_dp
20,79.51219512195122,she_dp
21,79.02439024390245,she_dp
22,79.51219512195122,she_dp
23,80.0,she_dp
24,81.46341463414635,she_dp
25,79.51219512195122,she_dp
