round,rmse,profile
0,0.5622018977850737,she
1,1.4367180231537466,she
2,0.3636556357456968,she
3,0.09892973727180045,she
4,0.3621497426993417,she
5,0.1395390622428534,she
6,0.17860918327123027,she
7,0.11201692284731316,she
8,0.05918752103835883,she
9,0.12382414342092792,she
10,0.04582170403035048,she
11,0.036980799930786366,she
12,0.032436017103261515,she
13,0.011968753555502127,she
14,0.052570541073651854,she
15,0.03448828452364437,she
16,0.021328038253232238,she
17,0.05614775141305724,she
18,0.044045695254310964,she
19,0.017536761207504102,she
20,0.01663282200269665,she
21,0.01874937948054477,she
22,0.007457730227418603,she
23,0.0099334716796875,she
24,0.023237419941731164,she
25,0.008165633721169954,she
