round,rmse,profile
0,0.5152862476442206,she
2,1.2833166435114243,she
3,0.6944841315267134,she
4,0.04347030163787065,she
5,0.8287716625943978,she
6,0.23424259260388325,she
7,0.09118230521417577,she
8,0.13589896609605673,she
9,0.07830586359586518,she
10,0.028959388798008235,she
11,0.0856246564155145,she
12,0.08252965142757662,she
13,0.037740055334425274,she
14,0.07161157955748229,she
15,0.043608411180919134,she
16,0.022419441546746428,she
17,0.05165659706532219,she
18,0.05112850001635189,she
19,0.028585016967008523,she
20,0.04860771500601812,she
21,0.04055454593652846,she
22,0.015475974810783956,she
23,0.026282128031277392,she
24,0.017050490027275152,she
25,0.028918229420620833,she
