round,rmse,profile
0,0.614328595618023,she
1,2.1522634390855515,she
2,0.7323328803354332,she
3,0.14164040131506533,she
4,0.5024325385761591,she
5,0.1521219570831978,she
6,0.022947520588886907,she
7,0.15741578556522348,she
8,0.1713553560258196,she
9,0.07395599936890364,she
10,0.09622297398326546,she
11,0.19808454775976256,she
12,0.09998149179008613,she
13,0.02141550999660742,she
14,0.035051178878599994,she
15,0.033954315004174625,she
16,0.015396102096201411,she
17,0.04288037244233162,she
18,0.04838493199913269,she
19,0.023493918671377338,she
20,0.03740617213314799,she
21,0.05151759941712964,she
22,0.03011408713508536,she
23,0.009548267649160867,she
24,0.020334854113238626,she
25,0.014656540497133105,she
