round,accuracy,profile
0,54.146341463414636,she_dp
1,51.21951219512195,she_dp
2,51.707317073170735,she_dp
3,53.65853658536585,she_dp
4,58.53658536585366,she_dp
5,61.951219512195124,she_dp
6,63.90243902439025,she_dp
7,64.8780487804878,she_dp
8,64.8780487804878,she_dp
9,65.36585365853658,she_dp
10,67.8048780487805,she_dp
11,68.78048780487805,she_dp
12,70.2439024390244,she_dp
13,71.70731707317073,she_dp
14,75.60975609756098,she_dp
15,76.58536585365853,she_dp
16,79.02439024390245,she_dp
17,81.46341463414635,she_dp
18,82.92682926829268,she_dp
19,81.95121951219512,she_dp
20,81.95121951219512,she_dp
21,80.97560975609755,she_dp
22,80.48780487804878,she_dp
23,79.02439024390245,she_dp
24,79.02439024390245,she_dp
25,79.02439024390245,she_dp
