round,accuracy,profile
0,35.609756097560975,she_dp
2,51.21951219512195,she_dp
3,54.63414634146341,she_dp
4,56.09756097560975,she_dp
5,60.0,she_dp
6,64.39024390243902,she_dp
7,63.90243902439025,she_dp
8,68.78048780487805,she_dp
9,65.85365853658537,she_dp
10,65.36585365853658,she_dp
11,67.3170731707317,she_dp
12,69.7560975609756,she_dp
13,74.63414634146342,she_dp
14,76.09756097560975,she_dp
15,76.09756097560975,she_dp
16,80.97560975609755,she_dp
17,80.97560975609755,she_dp
18,81.95121951219512,she_dp
19,83.41463414634147,she_dp
20,84.39024390243902,she_dp
21,81.95121951219512,she_dp
22,81.95121951219512,she_dp
23,81.95121951219512,she_dp
24,80.48780487804878,she_dp
25,80.0,she_dp
26,78.04878048780488,she_dp
27,79.51219512195122,she_dp
28,80.0,she_dp
29,81.95121951219512,she_dp
30,80.97560975609755,she_dp
31,80.48780487804878,she_dp
32,79.02439024390245,she_dp
33,79.51219512195122,she_dp
34,81.46341463414635,she_dp
35,80.97560975609755,she_dp
36,80.0,she_dp
37,79.02439024390245,she_dp
38,78.53658536585365,she_dp
39,78.04878048780488,she_dp
40,79.02439024390245,she_dp
41,79.02439024390245,she_dp
42,80.48780487804878,she_dp
43,80.48780487804878,she_dp
44,80.97560975609755,she_dp
45,80.97560975609755,she_dp
46,80.97560975609755,she_dp
47,80.0,she_dp
