round,accuracy,profile
0,56.09756097560975,she_dp
1,51.21951219512195,she_dp
2,51.21951219512195,she_dp
3,53.65853658536585,she_dp
4,54.146341463414636,she_dp
5,55.1219512195122,she_dp
6,55.1219512195122,she_dp
7,57.073170731707314,she_dp
8,62.4390243902439,she_dp
9,66.34146341463415,she_dp
10,67.8048780487805,she_dp
11,71.70731707317073,she_dp
12,73.65853658536585,she_dp
13,74.14634146341463,she_dp
14,76.09756097560975,she_dp
15,76.58536585365853,she_dp
16,77.5609756097561,she_dp
17,78.53658536585365,she_dp
18,78.53658536585365,she_dp
19,82.4390243902439,she_dp
20,81.95121951219512,she_dp
21,82.92682926829268,she_dp
22,81.46341463414635,she_dp
23,80.97560975609755,she_dp
24,81.46341463414635,she_dp
25,81.46341463414635,she_dp
