round,accuracy,profile
0,48.78048780487805,she_dp
1,71.70731707317073,she_dp
2,68.29268292682927,she_dp
3,70.73170731707317,she_dp
4,71.70731707317073,she_dp
5,77.5609756097561,she_dp
6,80.0,she_dp
7,81.46341463414635,she_dp
8,78.53658536585365,she_dp
9,79.02439024390245,she_dp
10,77.5609756097561,she_dp
11,77.07317073170732,she_dp
12,76.09756097560975,she_dp
13,75.60975609756098,she_dp
14,75.60975609756098,she_dp
15,75.60975609756098,she_dp
16,75.1219512195122,she_dp
17,76.58536585365853,she_dp
18,77.07317073170732,she_dp
19,78.04878048780488,she_dp
20,80.48780487804878,she_dp
21,81.46341463414635,she_dp
22,82.4390243902439,she_dp
23,81.46341463414635,she_dp
24,78.53658536585365,she_dp
25,79.02439024390245,she_dp
