round,accuracy,profile
0,51.707317073170735,she_dp
1,63.41463414634146,she_dp
2,65.36585365853658,she_dp
3,68.78048780487805,she_dp
4,70.2439024390244,she_dp
5,68.29268292682927,she_dp
6,74.14634146341463,she_dp
7,77.07317073170732,she_dp
8,80.0,she_dp
9,78.04878048780488,she_dp
10,76.09756097560975,she_dp
11,76.58536585365853,she_dp
12,77.07317073170732,she_dp
13,77.5609756097561,she_dp
14,77.07317073170732,she_dp
15,77.5609756097561,she_dp
16,77.07317073170732,she_dp
17,77.07317073170732,she_dp
18,77.07317073170732,she_dp
19,77.5609756097561,she_dp
20,78.04878048780488,she_dp
21,79.02439024390245,she_dp
22,80.0,she_dp
23,80.48780487804878,she_dp
24,80.97560975609755,she_dp
25,80.0,she_dp
