round,rmse,profile
0,0.6206388907208208,she
2,1.6761321298460543,she
3,0.5215702057686896,she
4,0.029014288484215712,she
5,0.4092544633007938,she
6,0.13039183005249794,she
7,0.09404440192440736,she
8,0.08888817109757345,she
9,0.013503588653131273,she
10,0.09541024429645205,she
11,0.04869367686002877,she
12,0.022513897282866985,she
13,0.04003549623889362,she
14,0.031124584167811713,she
15,0.026234653516152073,she
16,0.021363345529540133,she
17,0.01428582989647105,she
18,0.009722599601403367,she
19,0.01642133730047547,she
20,0.02592783926100269,she
21,0.02064244533956841,she
22,0.006968717687776065,she
23,0.007935618368036128,she
24,0.006807017566479605,she
25,0.013063474090589056,she
