round,rmse,profile
0,0.5433095781666147,she
2,0.9229446929281427,she
3,0.42462535010416885,she
4,0.09823091226114249,she
5,0.3162263311605839,she
6,0.143855771770081,she
7,0.15336254170044347,she
8,0.08267868370784823,she
9,0.02152262744789823,she
10,0.05930718169019707,she
11,0.05305839923589045,she
12,0.05932636614167231,she
13,0.07239647244381729,she
14,0.03575329484221968,she
15,0.03134307746187073,she
16,0.07497040753382689,she
17,0.04436769681844085,she
18,0.037108408764758155,she
19,0.06335284574570652,she
20,0.03830237207313829,she
21,0.02801681442888591,she
22,0.04626581849805286,she
23,0.029963311332291374,she
24,0.0169040181970572,she
25,0.03476316350891703,she
