round,accuracy,profile
0,56.58536585365854,she_dp
1,48.78048780487805,she_dp
2,54.146341463414636,she_dp
3,54.146341463414636,she_dp
4,67.3170731707317,she_dp
5,72.1951219512195,she_dp
6,76.58536585365853,she_dp
7,76.09756097560975,she_dp
8,76.58536585365853,she_dp
9,76.58536585365853,she_dp
10,75.60975609756098,she_dp
11,75.60975609756098,she_dp
12,78.04878048780488,she_dp
13,75.60975609756098,she_dp
14,78.53658536585365,she_dp
15,75.1219512195122,she_dp
16,76.09756097560975,she_dp
17,73.65853658536585,she_dp
18,75.1219512195122,she_dp
19,77.07317073170732,she_dp
20,78.04878048780488,she_dp
21,78.04878048780488,she_dp
22,77.5609756097561,she_dp
23,78.04878048780488,she_dp
24,78.04878048780488,she_dp
25,79.51219512195122,she_dp
