round,accuracy,profile
0,40.0,she_dp
1,48.78048780487805,she_dp
2,51.21951219512195,she_dp
3,51.21951219512195,she_dp
4,51.21951219512195,she_dp
5,51.21951219512195,she_dp
6,51.21951219512195,she_dp
7,53.170731707317074,she_dp
8,55.609756097560975,she_dp
9,62.926829268292686,she_dp
10,66.34146341463415,she_dp
11,67.8048780487805,she_dp
12,68.78048780487805,she_dp
13,69.7560975609756,she_dp
14,73.65853658536585,she_dp
15,74.14634146341463,she_dp
16,75.1219512195122,she_dp
17,76.58536585365853,she_dp
18,76.09756097560975,she_dp
19,75.60975609756098,she_dp
20,75.60975609756098,she_dp
21,76.58536585365853,she_dp
22,77.07317073170732,she_dp
23,78.04878048780488,she_dp
24,78.04878048780488,she_dp
25,79.51219512195122,she_dp
