round,rmse,profile
0,0.565433825014884,she
1,1.3637079046729832,she
2,0.5598891649662324,she
3,0.08759266095925332,she
4,0.20293848020506602,she
5,0.14495419787007516,she
6,0.11107230911102434,she
7,0.16387485377096406,she
8,0.06956897446225448,she
9,0.07523887165294048,she
10,0.1163069664867729,she
11,0.0503700277090697,she
12,0.06942629299598724,she
13,0.06060031870216816,she
14,0.017719860498180227,she
15,0.033610452267497336,she
16,0.030029071054927622,she
17,0.019760614190418774,she
18,0.035601993876173646,she
19,0.03193739458673721,she
20,0.005039329513070798,she
21,0.02563395612437632,she
22,0.016291827553487355,she
23,0.013077267400761523,she
24,0.029843168359101543,she
25,0.0251388214064795,she
