round,rmse,profile
0,89.52102908500046,she
1,86.52487054400169,she
2,86.52286434629578,she
3,85.50564217494656,she
4,84.99802100177833,she
5,84.92858040454492,she
6,84.92211792743542,she
7,84.67021848582594,she
8,84.29319819367842,she
9,84.14214976566441,she
10,84.10894105173213,she
11,83.98265259861705,she
12,83.78178909281986,she
13,83.7495539866855,she
14,83.69094816458647,she
15,83.60392753464845,she
16,83.52923912656274,she
17,83.45110785570046,she
18,83.3997925094841,she
19,83.34550757426881,she
20,83.31069191117518,she
21,83.2745922526418,she
22,83.2392453873547,she
23,83.21257428737108,she
24,83.19901545015422,she
25,83.18992706357994,she
26,83.1808200736504,she
27,83.14077329201208,she
28,83.07983382904963,she
29,83.05612748316646,she
30,83.04574464188397,she
31,83.04526250786374,she
32,82.97242517754769,she
33,82.86817114587784,she
34,82.85842476590717,she
35,82.85172125456266,she
36,82.84230890391244,she
37,82.83736654961335,she
38,82.84145425430887,she
39,82.85068695022993,she
40,82.86022504514003,she
41,82.8726520924952,she
42,82.87077548622011,she
43,82.86578179784917,she
44,82.86013665263744,she
45,82.86117673177831,she
46,82.85769108933853,she
47,82.85034512601622,she
48,82.84275685466564,she
49,82.84452800464554,she
50,82.84258297933195,she
