round,accuracy,profile
0,50.73170731707317,she_dp
2,48.292682926829265,she_dp
3,50.24390243902439,she_dp
4,48.78048780487805,she_dp
5,49.75609756097561,she_dp
6,44.8780487804878,she_dp
7,45.36585365853659,she_dp
8,46.34146341463415,she_dp
9,50.24390243902439,she_dp
10,51.21951219512195,she_dp
11,53.65853658536585,she_dp
12,52.19512195121951,she_dp
13,54.146341463414636,she_dp
14,54.63414634146341,she_dp
15,55.1219512195122,she_dp
16,56.58536585365854,she_dp
17,59.51219512195122,she_dp
18,59.51219512195122,she_dp
19,61.46341463414634,she_dp
20,60.48780487804878,she_dp
21,61.46341463414634,she_dp
22,64.8780487804878,she_dp
23,68.78048780487805,she_dp
24,72.6829268292683,she_dp
25,74.63414634146342,she_dp
26,76.09756097560975,she_dp
27,76.58536585365853,she_dp
28,75.60975609756098,she_dp
29,77.07317073170732,she_dp
30,76.58536585365853,she_dp
31,77.5609756097561,she_dp
32,77.07317073170732,she_dp
33,75.1219512195122,she_dp
34,77.5609756097561,she_dp
35,76.58536585365853,she_dp
36,76.58536585365853,she_dp
37,77.07317073170732,she_dp
38,75.60975609756098,she_dp
39,75.1219512195122,she_dp
40,76.09756097560975,she_dp
41,76.09756097560975,she_dp
42,74.63414634146342,she_dp
43,76.09756097560975,she_dp
44,74.14634146341463,she_dp
45,73.17073170731707,she_dp
46,73.17073170731707,she_dp
47,74.63414634146342,she_dp
48,73.17073170731707,she_dp
49,72.6829268292683,she_dp
50,72.6829268292683,she_dp
