round,rmse,profile
0,89.58586085339444,she
1,87.41171885822861,she
2,86.41373724342097,she
3,86.18669551836292,she
4,86.09004926256722,she
5,86.07938287563405,she
6,86.11297426019786,she
7,86.15257178401583,she
8,86.17712897627624,she
9,86.20358805612445,she
10,86.23189914229826,she
11,86.263967958637,she
12,86.28547730499032,she
13,86.31130916539124,she
14,86.32789168520507,she
15,86.34204780262048,she
16,86.35085814932589,she
17,86.35132182688346,she
18,86.33936154247667,she
19,86.32242486837502,she
20,86.29213474895177,she
21,86.26095095787115,she
22,86.24379223584008,she
23,86.23647425647398,she
24,86.24045746577559,she
25,86.24208240379954,she
26,86.24657771743033,she
27,86.24436972112295,she
28,86.24079434568654,she
29,86.23443303812144,she
30,86.22402518748038,she
31,86.21795147328659,she
32,86.21597494627953,she
33,86.21802226496065,she
34,86.22093599983417,she
35,86.21917474523866,she
36,86.21853479494708,she
37,86.21716992934181,she
38,86.21745309825616,she
39,86.21331873976898,she
40,86.21180936634349,she
41,86.20987234559479,she
42,86.20768323321013,she
43,86.20593586816543,she
44,86.2041261610342,she
45,86.1996456271718,she
46,86.19598342494707,she
47,86.19486462371178,she
48,86.19654140393337,she
49,86.19632331105399,she
50,86.19448224527629,she
