round,rmse,profile
0,0.5253197150611438,she
1,0.8503296353184844,she
2,0.5557524974421965,she
3,0.1346111033700072,she
4,0.28653007244808815,she
5,0.3358300946665581,she
6,0.11883708323808577,she
7,0.05402099673507841,she
8,0.04494374717142921,she
9,0.04302992583989081,she
10,0.0345902966400214,she
11,0.06531452962354652,she
12,0.04461475007982895,she
13,0.017249431708293905,she
14,0.022052316507671726,she
15,0.007689909311884357,she
16,0.026251902922843486,she
17,0.03333349264344005,she
18,0.02297750718043496,she
19,0.011028729512154955,she
20,0.007210227407334908,she
21,0.00892853548111076,she
22,0.017047486436153343,she
23,0.015134998289131032,she
24,0.013435956756658903,she
25,0.006220818077624235,she
26,0.008720632401432693,she
27,0.013336496982294313,she
28,0.018637952664122364,she
29,0.010896994394165391,she
30,0.006983386049024923,she
31,0.008048821397323592,she
32,0.01056512001255278,she
33,0.015266460397673211,she
34,0.014824340095607642,she
35,0.010109771479028844,she
36,0.009601734722608864,she
37,0.010004764127283346,she
38,0.016787872875453306,she
