round,rmse,profile
0,89.71387079644512,she
1,87.43261635307358,she
2,87.29464182976811,she
3,87.74388166437161,she
4,87.28559110221171,she
5,87.06123529680848,she
6,86.94999292427372,she
7,86.51443555033894,she
8,86.06787837224756,she
9,85.94855610698181,she
10,85.66506532985748,she
11,85.07140842404104,she
12,84.99806408641022,she
13,84.9355339176425,she
14,84.86703754992276,she
15,84.73742186343941,she
16,84.67221956241019,she
17,84.63020432667642,she
18,84.5989764501099,she
19,84.54781780799402,she
20,84.47328187990863,she
21,84.3900218109345,she
22,84.30293218506696,she
23,84.2318432540138,she
24,84.09966360199516,she
25,83.98071067587485,she
26,83.9167969395505,she
27,83.87552393651559,she
28,83.85264523723298,she
29,83.8181975132787,she
30,83.79636950947666,she
31,83.77345462148944,she
32,83.76914426714649,she
33,83.77137378846218,she
34,83.76917341159873,she
35,83.76675438755521,she
36,83.76711578835695,she
37,83.77004191162256,she
38,83.77404622144319,she
